Company,Category,Subcategory,Region,Sales_Channel,Year,Revenue_USD_Million,Market_Share_%,Growth_%,Urban_Rural
Colgate-Palmolive,Home Care,Ayurvedic Products,North,Online,2025,5433.96,13.04,10.26,Urban
Godrej Consumer,Health Care,Oral Care,North,Online,2025,2120.3,9.61,10.57,Urban
Hindustan Unilever,Health Care,Hair Oil,East,Offline,2023,5942.55,6.78,14.66,Urban
Nestle India,Food & Beverages,Bakery,East,Offline,2024,2424.53,10.4,13.86,Urban
ITC,Home Care,Noodles,West,Online,2022,1943.65,14.71,6.55,Urban
ITC,Health Care,Noodles,West,Offline,2021,2632.67,4.77,14.78,Rural
Colgate-Palmolive,Personal Care,Soap,West,Online,2020,2920.94,15.9,9.03,Rural
ITC,Health Care,Shampoo,East,Offline,2025,726.17,19.09,10.42,Rural
Patanjali,Home Care,Shampoo,East,Online,2021,954.12,4.92,5.11,Rural
Hindustan Unilever,Personal Care,Noodles,North,Offline,2024,965.55,10.16,13.18,Rural
Godrej Consumer,Food & Beverages,Beverages,North,Offline,2023,4950.14,1.79,11.07,Urban
ITC,Food & Beverages,Soap,East,Online,2020,4456.19,11.29,12.84,Urban
Marico,Home Care,Bakery,South,Offline,2024,1194.63,7.53,13.06,Rural
Colgate-Palmolive,Home Care,Insecticides,South,Offline,2023,5782.61,15.26,14.18,Urban
Marico,Home Care,Biscuits,South,Offline,2020,3560.91,8.85,6.57,Urban
Godrej Consumer,Home Care,Hair Oil,North,Offline,2024,4304.73,9.42,4.32,Urban
ITC,Health Care,Oral Care,West,Online,2022,4986.82,9.8,3.67,Rural
Reliance Consumer,Personal Care,Ayurvedic Products,North,Online,2024,3403.67,3.43,14.94,Rural
Marico,Health Care,Bakery,East,Offline,2025,1332.98,1.66,3.9,Urban
Britannia,Food & Beverages,Ayurvedic Products,West,Offline,2024,5785.24,11.54,7.56,Urban
Patanjali,Food & Beverages,Biscuits,South,Offline,2022,5863.32,19.83,12.91,Urban
ITC,Health Care,Noodles,East,Online,2025,1782.67,14.27,5.42,Rural
Patanjali,Food & Beverages,Noodles,North,Online,2022,625.26,10.48,12.47,Urban
Marico,Home Care,Oral Care,West,Offline,2025,4870.5,7.85,13.66,Rural
Marico,Personal Care,Ayurvedic Products,West,Online,2024,3356.34,13.56,12.33,Rural
